ida_key,ida_visible_work_count,ida_visible_sanction_total,ida_median_sanction_amount,ida_median_sanction_delay_days,ida_delay_over45_share,ida_early_stage_over180_share,ida_completed_share,ida_high_cost_outlier_share,ida_duplicate_review_share,ida_average_review_priority_score,ida_max_review_priority_score,ida_latest_sanction_date,ida_distinct_work_type_count,ida_work_type_hhi,ida_review_priority_score,ida_review_priority_band,state,ida_district,ida_authority,ida_visible_mp_count
karnataka|belagavideputycommissionerbelgaumida,2,1050000.0,525000.0,446.0,1.0,0.0,1.0,0.0,0.0,16.0,16,2026-02-16,2,0.5,16.0,Routine,Karnataka,BELAGAVI,DEPUTY COMMISSIONER BELGAUM,1
karnataka|bengalurusouthdeputycommissionerramanagaraida,35,18000000.0,500000.0,138.0,1.0,0.0,0.08571428571428572,0.0,0.0,8.285714285714286,16,2025-08-08,6,0.430204081632653,10.6,Routine,Karnataka,Bengaluru South,DEPUTY COMMISSIONER RAMANAGARA,1
karnataka|bengaluruurbandeputycommissionerbangaloreurbanida,15,14634394.0,500000.0,186.0,1.0,0.2,0.0,0.4,0.0,29.933333333333334,49,2026-08-19,9,0.17333333333333334,35.65,Low,Karnataka,BENGALURU URBAN,DEPUTY COMMISSIONER BANGALORE URBAN,3
karnataka|bidardeputycommissionerbidarida,3,750000.0,250000.0,234.0,1.0,0.0,0.0,0.0,1.0,28.0,28,2025-07-07,1,1.0,28.0,Low,Karnataka,BIDAR,DEPUTY COMMISSIONER BIDAR,1
karnataka|chikkamagalurudeputycommissionerchikmagalur,1,496984.0,496984.0,536.0,1.0,0.0,0.0,0.0,0.0,16.0,16,2026-02-09,1,1.0,16.0,Routine,Karnataka,CHIKKAMAGALURU,DEPUTY COMMISSIONER CHIKMAGALUR,1
karnataka|dharwaddeputycommissionerdharwarida,15,6320363.0,400000.0,44.0,0.4,0.26666666666666666,0.0,0.0,0.0,9.066666666666666,31,2025-09-18,2,0.8755555555555556,15.65,Routine,Karnataka,DHARWAD,DEPUTY COMMISSIONER DHARWAR,1
karnataka|hassandeputycommissionerhassanida,1,1000000.0,1000000.0,151.0,1.0,0.0,0.0,0.0,0.0,6.0,6,2025-03-17,1,1.0,6.0,Routine,Karnataka,HASSAN,DEPUTY COMMISSIONER HASSAN,1
karnataka|haverideputycommissionerhaveriida,1,1500000.0,1500000.0,325.0,1.0,0.0,0.0,1.0,0.0,41.0,41,2025-05-29,1,1.0,41.0,Medium,Karnataka,HAVERI,DEPUTY COMMISSIONER HAVERI,1
karnataka|tumakurudeputycommissionertumkurida,6,2800000.0,500000.0,283.0,1.0,0.5,0.16666666666666666,0.0,0.0,23.5,31,2025-08-30,2,0.7222222222222223,25.75,Low,Karnataka,TUMAKURU,DEPUTY COMMISSIONER TUMKUR,1
karnataka|udupideputycommissionerudupiida,27,12793048.0,500000.0,250.0,1.0,0.14814814814814814,0.1111111111111111,0.037037037037037035,0.0,18.40740740740741,41,2026-08-29,3,0.8600823045267489,25.19,Low,Karnataka,UDUPI,DEPUTY COMMISSIONER UDUPI,1
